CO_MTRS,X,Y
10M14S19E14,-119.871871108516,36.713980697104894
10M14S19E15,-119.889523386279,36.7102281518696
10M14S19E16,-119.907278263764,36.7101770213578
10M14S19E17,-119.925487513771,36.713705021254704
10M14S19E18,-119.943628801928,36.713538790486496
10M14S19E19,-119.943691483982,36.6989038905265
10M14S19E23,-119.87189540068,36.6993457208477
10M14S19E24,-119.853826149515,36.6994280876917
10M14S19E25,-119.85387910093,36.6847873638759
10M14S19E26,-119.871917826515,36.6847278960454
10M14S19E27,-119.88949103570101,36.684733633685106
10M14S19E28,-119.907291138521,36.6846968615965
10M14S19E30,-119.943753943007,36.6844081625595
10M14S19E31,-119.943831616867,36.6664965300262
10M14S19E33,-119.907671979428,36.666710761291206
10M14S19E34,-119.8898471053,36.6702719934013
10M14S19E36,-119.853933664422,36.6704244923407
10M14S20E18,-119.835688702024,36.714181671953604
10M14S20E19,-119.835749324592,36.6995066511011
10M14S20E20,-119.817903180161,36.6995812989651
10M14S20E21,-119.799830207969,36.6996560368449
10M14S20E26,-119.763763976789,36.6850541020696
10M14S20E27,-119.781697158272,36.6852786412765
10M14S20E28,-119.799833449006,36.685247930063795
10M14S20E29,-119.817942825829,36.6850243997872
10M14S20E30,-119.83581151032101,36.684993722074104
10M14S20E31,-119.835868503844,36.6703300638241
10M14S20E32,-119.81797668306999,36.670420024949
10M14S20E33,-119.79984655792101,36.6705098952737
10M14S20E34,-119.781733497101,36.670582712850106
10M14S20E35,-119.763818757566,36.6706497163939
10M14S20E36,-119.745732455568,36.6706824232277
10M14S21E01,-119.63712886872,36.743612041305
10M14S21E02,-119.65501024672301,36.7438236685081
10M14S21E11,-119.65510978070499,36.7271096206802
10M14S21E12,-119.637167264903,36.73000503851421
10M14S21E13,-119.637211018876,36.7143666887426
10M14S21E14,-119.65509490476299,36.7156255116897
10M14S21E15,-119.673010557179,36.715655972484996
10M14S21E19,-119.72736638326799,36.7001223742571
10M14S21E20,-119.709189743438,36.7003684489545
10M14S21E21,-119.691140086198,36.6970210901121
10M14S21E22,-119.672994103307,36.696954414454005
10M14S21E23,-119.65507036508998,36.700118748909
10M14S21E24,-119.637249386448,36.6996668103271
10M14S21E25,-119.637290956603,36.6851385635783
10M14S21E26,-119.655048813105,36.685428406463
